Handle,craft,fabric,color,Product Types
gaia-co-ordinate-set-3583,"Dori Embroidery, Thread Embroidery, Bead Work, Sequin Embroidery",Linen,Blue,Co-ordinate Set
shiqa-co-ordinate-set-3582,Thread Embroidery,Linen,Green,Co-ordinate Set
arzen-co-ordinate-set-3581,Thread Embroidery,Linen,"Pink, White",Co-ordinate Set
alisha-co-ordinate-set-3580,Thread Embroidery,Linen,"Beige, White",Co-ordinate Set
cyra-co-ordinate-set-3579,"Thread Embroidery, Bead Work, Sequin Embroidery, Applique Work",Linen,"Yellow, White",Co-ordinate Set
elara-co-ordinate-set-3578,Thread Embroidery,Linen,Grey,Co-ordinate Set
raisa-co-ordinate-set-3577,"Thread Embroidery, 3D Embroidery",Linen,Yellow,Co-ordinate Set
soha-co-ordinate-set-3576,"Applique Work, Thread Embroidery",Linen,"Pink, White",Co-ordinate Set
lamya-co-ordinate-set-3575,Thread Embroidery,Linen,Green,Co-ordinate Set
sania-co-ordinate-set-3574,Thread Embroidery,Linen,"Beige, White",Co-ordinate Set
selia-co-ordinate-set-3573,"Ribbon Embroidery, Thread Embroidery",Linen,"Grey, White",Co-ordinate Set
iris-co-ordinate-set-3572,"Applique Work, Thread Embroidery",Linen,Blue,Co-ordinate Set
alba-co-ordinate-set-3571,Thread Embroidery,"Chanderi, Silk",Yellow,Co-ordinate Set
eden-co-ordinate-set-3570,Thread Embroidery,"Chanderi, Silk",Yellow,Co-ordinate Set
zafira-co-ordinate-set-3569,"Thread Embroidery, Bead Work","Chanderi, Silk",Blue,Co-ordinate Set
aya-co-ordinate-set-3568,"Thread Embroidery, Bead Work, Sequin Embroidery","Chanderi, Silk",Blue,Co-ordinate Set
elena-co-ordinate-set-3567,Thread Embroidery,"Chanderi, Silk",Pink,Co-ordinate Set
amina-co-ordinate-set-3566,Thread Embroidery,"Chanderi, Silk",Pink,Co-ordinate Set
anisha-co-ordinate-set-3565,"Ribbon Embroidery, 3D Embroidery, Bead Work, Sequin Embroidery","Chanderi, Silk",Green,Co-ordinate Set
mehzal-co-ordinate-set-3564,"Thread Embroidery, Bead Work","Chanderi, Silk",Green,Co-ordinate Set
izel-tunic-set-3563,"Thread Embroidery, Bead Work","Chanderi, Silk","Green, White",Tunic Set
ziana-tunic-set-3562,"Thread Embroidery, Bead Work","Chanderi, Silk",Yellow,Tunic Set
naz-tunic-set-3561,Thread Embroidery,"Chanderi, Silk",Yellow,Tunic Set
hifza-tunic-set-3560,Thread Embroidery,"Chanderi, Silk",Pink,Tunic Set
yasira-kaftan-set-3559,"Zari Work, Aari Embroidery, Bead Work","Chanderi, Mulmul",Yellow,Kaftan Set
maliha-kaftan-set-3558,"Zari Work, Aari Embroidery","Chanderi, Mulmul, Silk, Cotton",Blue,Kaftan Set
huda-long-kurta-set-3557,"Zari Work, Thread Embroidery","Chanderi, Silk, Mulmul",Blue,Kurta Set
iffat-long-kurta-set-3556,"Zari Work, Thread Embroidery","Chanderi, Silk, Mulmul",Pink,Kurta Set
yasim-long-kurta-set-3555,Thread Embroidery,"Chanderi, Silk, Mulmul",Pink,Kurta Set
riva-long-kurta-set-3554,Thread Embroidery,"Chanderi, Silk, Mulmul",Yellow,Kurta Set
mishka-long-anarkali-set-3553,Thread Embroidery,"Chanderi, Mulmul, Silk","Pink, Yellow",Anarkali Set
parisa-long-anarkali-set-3552,Thread Embroidery,"Chanderi, Mulmul, Silk","Blue, Yellow",Anarkali Set
quirat-short-kurta-set-3551,"Zari Work, Thread Embroidery, Thread Embroidery","Chanderi, Silk, Mulmul","White, Green",Kurta Set
kenza-short-kurta-set-3550,"Zari Work, Thread Embroidery, Thread Embroidery","Chanderi, Silk, Mulmul",Yellow,Kurta Set
simrat-long-anarkali-set-3549,"Aari Embroidery, Bead Work, Lace Work","Chanderi, Mulmul, Silk",Yellow,Anarkali Set
avisha-long-anarkali-set-3548,"Zari Work, Thread Embroidery, Lace Work","Chanderi, Silk, Mulmul","White, Green",Anarkali Set
israt-jumpsuit-3547,"Zari Work, Aari Embroidery, Lace Work","Chanderi, Silk","White, Green",Jumpsuit
rehana-jumpsuit-3546,"Thread Embroidery, Bead Work","Chanderi, Mulmul",Green,Jumpsuit
zanera-short-kurta-set-3545,"Thread Embroidery, Applique Work, Swarovski","Chanderi, Silk, Mulmul",Yellow,Kurta Set
zina-short-kurta-set-3544,"Thread Embroidery, Applique Work, Swarovski","Chanderi, Silk, Mulmul",Green,Kurta Set
ulfat-long-kurta-set-3543,"Thread Embroidery, Lace Work","Silk, Chanderi, Mulmul",Green,Kurta Set
azeena-long-kurta-set-3542,"Thread Embroidery, Lace Work","Silk, Chanderi, Mulmul",Blue,Kurta Set
rubina-jumpsuit-3540,"Sequin Embroidery, 3D Embroidery, Bead Work, Pearl Work, Swarovski",Georgette,Yellow,Jumpsuit
zuhaira-jumpsuit-3539,"Thread Embroidery, Bead Work, Swarovski",Georgette,Yellow,Jumpsuit
zayna-dress-3538,"Aari Embroidery, Sequin Embroidery, Pearl Work, Swarovski","Silk, Organza, Georgette","White, Green",Dress
shifa-draped-skirt-set-3537,"Sequin Embroidery, Bead Work, Swarovski","Chiffon, Silk, Organza, Satin",Pink,Skirt & Top
eiaf-cape-set-3535,"Aari Embroidery, Sequin Embroidery, Bead Work, Swarovski","Silk, Organza, Crepe",Green,Cape Set
sia-short-kurta-set-3534,"Aari Embroidery, Thread Embroidery, Sequin Embroidery, Zari Work, Swarovski","Georgette, Cotton, Tissue",Green,Kurta Set
afiya-long-kurta-set-3531,"Thread Embroidery, Zari Work, Sequin Embroidery, Bead Work, Swarovski","Silk, Organza","White, Beige",Kurta Set
ivy-short-anarkali-set-3527,"Thread Embroidery, Dabka Work, Sequin Embroidery, Bead Work, Lace Work, Swarovski","Silk, Organza, Georgette, Crepe","White, Green",Anarkali Set
nahla-sharara-set-3524,"Thread Embroidery, Sequin Embroidery, Bead Work, Zari Work, Cut Work, Scalloping, Swarovski","Silk, Organza, Georgette","Green, White",Sharara Set
hafsa-sharara-set-3523,"Thread Embroidery, Sequin Embroidery, Bead Work, Zari Work, Swarovski","Silk, Organza",Pink,Sharara Set
aeeba-saree-set-3522,"Sequin Embroidery, Thread Embroidery, Aari Embroidery, Pearl Work, Bead Work, Cut Work, Swarovski",Georgette,Blue,Saree Set
bahar-saree-set-3521,"Sequin Embroidery, Aari Embroidery, Pearl Work, Swarovski",Georgette,"White, Beige",Saree Set
nimra-saree-set-3520,"Sequin Embroidery, Aari Embroidery, Zari Work, Swarovski","Chiffon, Tissue, Banarasi",Yellow,Saree Set
bahia-saree-set-3518,"Applique Work, Dabka Work, Zari Work, Bead Work, Swarovski",Georgette,Yellow,Saree Set
zara-saree-set-3517,"Sequin Embroidery, Applique Work, Bead Work, Zari Work, Swarovski","Silk, Organza, Raw Silk",Yellow,Saree Set
meher-saree-set-3516,"3D Embroidery, Thread Embroidery, Sequin Embroidery, Bead Work, Swarovski","Silk, Organza, Raw Silk",Green,Saree Set
nazia-saree-set-3515,"Thread Embroidery, Sequin Embroidery, Bead Work","Georgette, Raw Silk","White, Green",Saree Set
diya-jumpsuit-3541,"Applique Work, Thread Embroidery, Sequin Embroidery, Pitta Work, Thread Embroidery, Swarovski, Bead Work, Pearl Work","Chiffon, Silk, Organza",Pink,Jumpsuit
soraya-cape-set-3536,"Thread Embroidery, Pearl Work, Bead Work, Swarovski",Georgette,Blue,Cape Set
rihab-short-kurta-set-3533,"Sequin Embroidery, Bead Work, Swarovski","Georgette, Organza, Silk",Blue,Kurta Set
zora-long-kurta-set-3532,"Thread Embroidery, Zari Work, Sequin Embroidery, Dabka Work, Bead Work, Swarovski","Georgette, Organza, Silk",Pink,Kurta Set
ajoor-long-anarkali-set-3530,"Thread Embroidery, Sequin Embroidery, Bead Work, Swarovski","Organza, Silk",Yellow,Anarkali Set
khizra-long-anarkali-set-3529,"Thread Embroidery, Zari Work, Sequin Embroidery, Dabka Work, Bead Work","Chanderi, Organza, Silk, Crepe","Beige, White",Anarkali Set
rabia-short-anarkali-set-3528,"Thread Embroidery, Sequin Embroidery, Bead Work, Zari Work, Cut Work, Scalloping","Georgette, Organza, Silk",Yellow,Anarkali Set
asya-gharara-set-3526,"Thread Embroidery, Sequin Embroidery, Dabka Work, Bead Work, Swarovski",Georgette,"Beige, White",Gharara Set
nayara-gharara-set-3525,"Applique Work, 3D Embroidery, Thread Embroidery, Sequin Embroidery, Bead Work, Scalloping","Georgette, Chiffon",Yellow,Gharara Set
zoya-saree-set-3519,"Pearl Work, Thread Embroidery, Sequin Embroidery, Applique Work, Bead Work, Swarovski","Chanderi, Organza, Silk",Pink,Saree Set
saaya-lehenga-set-3514,"Thread Embroidery, Sequin Embroidery, Dabka Work, Bead Work, Swarovski","Organza, Silk, Raw Silk","White, Green",Lehenga Set
nahar-lehenga-set-3513,"Applique Work, Sequin Embroidery, Dori Embroidery, Dabka Work, Pearl Work, Bead Work, Thread Embroidery, Swarovski","Raw Silk, Organza, Silk, Tissue","Beige, White",Lehenga Set
sahar-lehenga-set-3512,"Applique Work, Zari Work, Sequin Embroidery, Bead Work","Organza, Silk",Pink,Lehenga Set
sasha-lehenga-set-3511,"Applique Work, Zari Work, Sequin Embroidery, Pearl Work, Bead Work, Swarovski","Organza, Silk",Blue,Lehenga Set
caramel-co-ordinate-set-3510,"Digital Printing, Thread Embroidery",Linen,Uncategorized,Co-ordinate Set
onyx-co-ordinate-set-3509,Digital Printing,Linen,Blue,Co-ordinate Set
midnight-co-ordinate-set-3508,"Digital Printing, Thread Embroidery",Linen,Blue,Co-ordinate Set
mulberry-co-ordinate-set-3507,"Digital Printing, Thread Embroidery",Linen,Purple,Co-ordinate Set
anchor-co-ordinate-set-3506,Digital Printing,Linen,Grey,Co-ordinate Set
juniper-co-ordinate-set-3505,Digital Printing,Linen,Green,Co-ordinate Set
ruby-co-ordinate-set-3504,Digital Printing,Linen,Red,Co-ordinate Set
ebong-co-ordinate-set-3503,Digital Printing,Linen,Green,Co-ordinate Set
ambre-co-ordinate-set-3502,Digital Printing,Linen,Green,Co-ordinate Set
dahlia-co-ordinate-set-3501,Digital Printing,Linen,"Blue, Green",Co-ordinate Set
jade-co-ordinate-set-3500,Digital Printing,Linen,Blue,Co-ordinate Set
scarlet-co-ordinate-set-3499,Digital Printing,Linen,Red,Co-ordinate Set
insha-long-kurta-set-3498,Dabka Work,"Velvet, Silk",Black,Kurta Set
mishika-long-kurta-set-3290,Applique Work,"Velvet, Tissue, Cotton, Silk",Red,Kurta Set
ridhi-long-kurta-set-3289,Dori Embroidery,"Velvet, Tissue, Cotton, Silk","Yellow, Red",Kurta Set
mahika-short-kurta-set-3286,Thread Embroidery,"Velvet, Tissue, Banarasi, Cotton, Silk",Pink,Kurta Set
ritvi-long-kurta-set-3283,Dori Embroidery,"Velvet, Tissue, Banarasi, Cotton, Silk","Silver, Red",Kurta Set
saanvi-short-kurta-set-3281,Thread Embroidery,"Velvet, Silk",Red,Kurta Set
mehram-long-kurta-set-3497,Dori Embroidery,"Velvet, Silk",Red,Kurta Set
sajal-long-kurta-set-3496,Dori Embroidery,"Velvet, Silk",Blue,Kurta Set
raatib-long-kurta-set-3495,Dori Embroidery,"Velvet, Silk",Black,Kurta Set
ashma-long-kurta-set-3494,Dori Embroidery,"Velvet, Silk",Green,Kurta Set
arish-long-kurta-set-3493,Dori Embroidery,"Velvet, Silk",Blue,Kurta Set
arham-long-kurta-set-3492,Dori Embroidery,"Velvet, Silk",Orange,Kurta Set
siham-long-kurta-set-3451,Thread Embroidery,"Chanderi, Silk",Red,Kurta Set
salma-long-kurta-set-3450,Thread Embroidery,"Chanderi, Silk","Beige, Green",Kurta Set
shadiya-short-kurta-set-3449,"Zari Work, Thread Embroidery","Tissue, Cotton, Silk","Purple, Beige",Kurta Set
samiya-short-kurta-set-3448,"Zari Work, Sequin Embroidery","Tissue, Cotton, Silk","Black, Beige, Gold",Kurta Set
zahira-long-kurta-set-3447,"Dori Embroidery, Thread Embroidery","Tissue, Cotton, Silk, Organza","Black, Pink",Kurta Set
sakina-long-kurta-set-3446,"Dori Embroidery, Thread Embroidery","Tissue, Cotton, Silk, Organza","Purple, Pink",Kurta Set
yaman-long-kurta-set-3445,"Zari Work, Thread Embroidery","Chanderi, Silk, Banarasi, Cotton, Tissue","Green, Gold",Kurta Set
tahira-long-kurta-set-3444,"Zari Work, Thread Embroidery","Chanderi, Silk, Banarasi, Cotton, Tissue","Red, Gold",Kurta Set
reem-co-ordinate-set-3477,Thread Embroidery,Linen,Black,Co-ordinate Set
dani-co-ordinate-set-3476,Thread Embroidery,Linen,Beige,Co-ordinate Set
yana-co-ordinate-set-3475,"Thread Embroidery, Zari Work",Linen,"Green, White, Gold",Co-ordinate Set
vara-co-ordinate-set-3474,Thread Embroidery,Linen,Beige,Co-ordinate Set
raha-co-ordinate-set-3473,Thread Embroidery,Linen,Black,Co-ordinate Set
meeli-co-ordinate-set-3472,Thread Embroidery,Linen,Green,Co-ordinate Set
lara-co-ordinate-set-3471,Thread Embroidery,"Linen, Silk, Organza",Beige,Co-ordinate Set
kiya-co-ordinate-set-3470,"Thread Embroidery, Scalloping",Linen,Black,Co-ordinate Set
eka-co-ordinate-set-3469,Thread Embroidery,Linen,Black,Co-ordinate Set
bini-co-ordinate-set-3468,Thread Embroidery,Linen,Green,Co-ordinate Set
aria-co-ordinate-set-3467,Lace Work,Linen,"Beige, Green",Co-ordinate Set
anura-co-ordinate-set-3466,Swarovski,Linen,Green,Co-ordinate Set
ahana-co-ordinate-set-3465,"3D Embroidery, Thread Embroidery, Applique Work",Linen,Black,Co-ordinate Set
uma-co-ordinate-set-3464,"Thread Embroidery, Swarovski",Linen,Black,Co-ordinate Set
reet-co-ordinate-set-3463,Thread Embroidery,"Linen, Silk, Organza",Green,Co-ordinate Set
tisya-co-ordinate-set-3462,Thread Embroidery,Linen,Beige,Co-ordinate Set
akshi-co-ordinate-set-3460,Thread Embroidery,Linen,Beige,Co-ordinate Set
aala-short-kurta-set-3456,"Aari Embroidery, Zari Work","Chanderi, Tissue","Yellow, Beige",Kurta Set
ayah-short-kurta-set-3455,"Dori Embroidery, Zari Work, Chatta Patti Work",Tissue,"Beige, Yellow",Kurta Set
abda-short-kurta-set-3457,"Aari Embroidery, Zari Work","Chanderi, Tissue",Red,Kurta Set
gia-co-ordinate-set-3458,Thread Embroidery,Linen,Green,Co-ordinate Set
aafreen-short-kurta-set-3452,Zari Work,Tissue,"Pink, Beige",Kurta Set
raniya-short-anarkali-set-3442,Zari Work,"Chanderi, Tissue","Yellow, Beige",Anarkali Set
jeeva-co-ordinate-set-3461,Thread Embroidery,Linen,Green,Co-ordinate Set
avya-co-ordinate-set-3459,Thread Embroidery,"Linen, Organza",Black,Co-ordinate Set
azra-short-kurta-set-3454,"Dori Embroidery, Zari Work, Chatta Patti Work","Tissue, Organza",Pink,Kurta Set
aamina-short-kurta-set-3453,Zari Work,Tissue,"Green, Purple, Beige",Kurta Set
salima-short-anarkali-set-3443,Zari Work,"Chanderi, Tissue","Green, Beige",Anarkali Set
rashida-short-kurta-set-3441,Dori Embroidery,"Silk, Organza",Yellow,Kurta Set
najiya-short-kurta-set-3440,"Zari Work, Applique Work","Raw Silk, Organza",Red,Kurta Set
kamila-short-kurta-set-3439,Zari Work,"Raw Silk, Tissue","Green, Yellow, Beige",Kurta Set
noushin-short-kurta-set-3438,"Aari Embroidery, Zari Work, Applique Work","Raw Silk, Banarasi, Tissue",Beige,Kurta Set
nusrat-short-kurta-set-3437,"Aari Embroidery, Zari Work","Raw Silk, Silk, Tissue","Green, Beige",Kurta Set
maira-short-kurta-set-3436,"Aari Embroidery, Zari Work","Raw Silk, Banarasi, Tissue","Purple, Yellow, Green",Kurta Set
latifa-long-kurta-set-3435,"Dori Embroidery, Applique Work, Chatta Patti Work, Zari Work","Raw Silk, Organza","Pink, Green",Kurta Set
khalida-kaftan-set-3434,Zari Work,Raw Silk,"Beige, Green",Kaftan Set
jamila-cape-set-3433,"Zari Work, Dori Embroidery","Raw Silk, Banarasi","Black, Pink",Cape Set
haniya-jacket-set-3432,Zari Work,Raw Silk,Purple,Jacket Set
hanifa-jacket-set-3431,Zari Work,"Raw Silk, Cotton, Tissue","Black, Beige",Jacket Set
bushra-short-anarkali-set-3430,Zari Work,"Silk, Tissue","Yellow, Beige",Anarkali Set
baseema-long-anarkali-set-3429,Aari Embroidery,"Raw Silk, Organza",Black,Anarkali Set
aisha-long-anarkali-set-3428,Aari Embroidery,"Organza, Tissue","Red, Green",Anarkali Set
adeela-sharara-set-3427,"Zari Work, Patri Work","Cotton, Tissue, Organza",Purple,Sharara Set
aneesa-sharara-set-3426,"Zari Work, Pitta Work","Raw Silk, Tissue","Pink, Green",Sharara Set
atika-gharara-set-3425,"Zari Work, Aari Embroidery","Raw Silk, Cotton, Tissue, Banarasi",Purple,Gharara Set
shahida-gharara-set-3424,Dori Embroidery,"Silk, Organza",Red,Gharara Set
hadiya-saree-set-3423,Zari Work,"Silk, Organza, Tissue",Red,Saree Set
najida-saree-set-3422,Aari Embroidery,"Cotton, Tissue, Banarasi","Green, Red",Saree Set
rizwana-saree-set-3421,"Aari Embroidery, Pearl Work","Cotton, Tissue, Raw Silk",Black,Saree Set
maheen-saree-set-3420,"Dori Embroidery, Pearl Work, Sequin Embroidery",Raw Silk,"Beige, Yellow",Saree Set
jaseena-saree-set-3419,"Zari Work, Applique Work","Cotton, Tissue, Raw Silk",Green,Saree Set
masooma-saree-set-3418,"Aari Embroidery, Pearl Work, Sequin Embroidery","Raw Silk, Banarasi","Red, Beige",Saree Set
adiva-saree-set-3417,"Applique Work, Pearl Work, Sequin Embroidery, Zari Work, Pitta Work","Silk, Organza, Georgette",Black,Saree Set
nurul-saree-set-3416,"Zari Work, Pitta Work, Pearl Work, Sequin Embroidery","Silk, Banarasi","Beige, Green, Red",Saree Set
leila-lehenga-set-3415,"Aari Embroidery, Pearl Work, Sequin Embroidery","Cotton, Tissue, Raw Silk, Organza",Red,Lehenga Set
yasmin-lehenga-set-3414,Zari Work,Raw Silk,Pink,Lehenga Set
mariam-lehenga-set-3413,Applique Work,Raw Silk,"Black, Red",Lehenga Set
aaliyah-lehenga-set-3412,Zari Work,"Silk, Tissue","Yellow, Green, Pink, Gold",Lehenga Set
sunshine-long-kurta-set-3395,Hand Painting,"Chanderi, Mulmul, Tissue, Cotton",White,Kurta Set
maysa-long-kurta-set-3386,Digital Printing,"Chanderi, Silk",White,Kurta Set
sage-co-ordinate-set-3411,"Applique Work, Scalloping",Linen,White,Co-ordinate Set
moss-co-ordinate-set-3410,Thread Embroidery,Linen,Green,Co-ordinate Set
marble-co-ordinate-set-3409,,Linen,White,Co-ordinate Set
julie-co-ordinate-set-3408,,Linen,"Orange, White",Co-ordinate Set
nena-co-ordinate-set-3407,,Linen,White,Co-ordinate Set
flora-co-ordinate-set-3406,Scalloping,Linen,Green,Co-ordinate Set
saffron-co-ordinate-set-3405,Thread Embroidery,Linen,Yellow,Co-ordinate Set
teal-co-ordinate-set-3404,Scalloping,Linen,Blue,Co-ordinate Set
flame-co-ordinate-set-3403,Thread Embroidery,Linen,Orange,Co-ordinate Set
pearl-co-ordinate-set-3402,Thread Embroidery,Linen,White,Co-ordinate Set
flemingo-co-ordinate-set-3401,Thread Embroidery,Linen,Pink,Co-ordinate Set
joy-co-ordinate-set-3400,Hand Painting,"Chanderi, Mulmul",White,Co-ordinate Set
fern-co-ordinate-set-3399,Hand Painting,"Chanderi, Mulmul",White,Co-ordinate Set
daisy-co-ordinate-set-3398,Hand Painting,"Chanderi, Mulmul",White,Co-ordinate Set
jamaica-co-ordinate-set-3397,Hand Painting,"Chanderi, Mulmul",White,Co-ordinate Set
grace-long-kurta-set-3396,Hand Painting,"Chanderi, Mulmul, Tissue, Cotton",White,Kurta Set
rose-long-kurta-set-3394,Hand Painting,"Chanderi, Mulmul, Tissue, Cotton","Blue, White",Kurta Set
tulip-long-kurta-set-3393,Hand Painting,"Chanderi, Mulmul, Tissue, Cotton",White,Kurta Set
sharmin-lehenga-set-3392,Digital Printing,"Tissue, Cotton",Beige,Lehenga Set
nayasia-long-anarkali-set-3390,Digital Printing,"Tissue, Cotton, Crepe",Beige,Anarkali Set
maya-short-anarkali-set-3389,"Digital Printing, Sequin Embroidery, Gota Patti","Tissue, Cotton, Crepe",Green,Anarkali Set
elma-short-anarkali-set-3388,Digital Printing,"Tissue, Cotton",Beige,Anarkali Set
zaira-short-anarkali-set-3387,Digital Printing,"Tissue, Cotton, Tussar, Silk","Blue, Yellow",Anarkali Set
affan-long-kurta-set-3385,"Digital Printing, Thread Embroidery, Thread Embroidery","Chanderi, Silk",White,Kurta Set
mahiz-long-kurta-set-3384,"Thread Embroidery, Thread Embroidery, Dabka Work, Sequin Embroidery, Zari Work, Pearl Work, Bead Work","Organza, Silk","Yellow, Peach",Kurta Set
nuha-long-kurta-set-3383,"Thread Embroidery, Thread Embroidery, Dabka Work, Sequin Embroidery, Pearl Work","Georgette, Silk, Tissue, Cotton","Yellow, Beige, White",Kurta Set
sidra-saree-set-3380,"Thread Embroidery, Thread Embroidery, Sequin Embroidery, Zari Work, Pearl Work","Georgette, Silk","Beige, Silver, Gold, White",Saree Set
alizha-long-kurta-set-3376,"Thread Embroidery, Thread Embroidery, Sequin Embroidery, Zari Work, Pearl Work","Organza, Silk, Tissue","Pink, White, Beige, Silver",Kurta Set
raha-long-anarkali-set-3373,"Thread Embroidery, Thread Embroidery, Sequin Embroidery, Zari Work","Georgette, Silk, Chiffon, Crepe","Beige, White",Anarkali Set
afee-gharara-set-3371,"Zardozi Embroidery, Thread Embroidery, Thread Embroidery, Pearl Work, Bead Work","Georgette, Silk, Organza","Pink, Gold",Gharara Set
aziza-long-kurta-set-3367,"Thread Embroidery, Thread Embroidery","Chanderi, Mulmul","Yellow, White",Kurta Set
aafia-long-kurta-set-3366,"Thread Embroidery, Thread Embroidery","Chanderi, Mulmul, Tissue, Cotton","Blue, Beige",Kurta Set
liba-long-kurta-set-3365,"Thread Embroidery, Thread Embroidery","Chanderi, Mulmul, Cotton, Crepe, Silk","White, Beige",Kurta Set
iram-long-kurta-set-3364,"Thread Embroidery, Thread Embroidery","Chanderi, Mulmul, Cotton, Crepe, Silk","Blue, Green",Kurta Set
fasha-long-kurta-set-3359,"Thread Embroidery, Cut Work",Chanderi,Pink,Kurta Set
shazi-long-kurta-set-3358,"Thread Embroidery, Cut Work",Chanderi,White,Kurta Set
eman-co-ordinate-set-3353,Lace Work,Chanderi,White,Co-ordinate Set
alina-saree-set-3346,"Sequin Embroidery, Bead Work, Thread Embroidery, 3D Embroidery",Georgette,Blue,Saree Set
dua-long-kurta-set-3345,"Patri Work, Thread Embroidery, Sequin Embroidery, Swarovski","Georgette, Organza",Pink,Kurta Set
ismat-long-kurta-set-3338,"Thread Embroidery, Sequin Embroidery","Georgette, Organza",Blue,Kurta Set
ashraqat-gharara-set-3337,"Thread Embroidery, Sequin Embroidery","Georgette, Organza",Yellow,Gharara Set
wahida-long-anarkali-set-3336,"Thread Embroidery, Sequin Embroidery, Pearl Work, Applique Work, Swarovski","Chanderi, Tissue, Crepe",Beige,Anarkali Set
dalia-short-kurta-set-3335,"Thread Embroidery, Sequin Embroidery, Pearl Work, Applique Work",Organza,"White, Blue",Kurta Set
mehwish-lehenga-set-3331,"Patri Work, Thread Embroidery, Bead Work, Sequin Embroidery, Zari Work",Organza,Pink,Lehenga Set
hana-long-kurta-set-3330,"Applique Work, Sequin Embroidery, Zari Work, Bead Work, Pearl Work","Georgette, Crepe, Organza",Pink,Kurta Set
rida-short-kurta-set-3328,"Thread Embroidery, Dori Embroidery","Tissue, Organza","Beige, Green",Kurta Set
hiba-short-kurta-set-3327,"Thread Embroidery, Dori Embroidery","Tissue, Organza","Blue, White",Kurta Set
aiza-long-kurta-set-3322,"Thread Embroidery, Zari Work, Sequin Embroidery, Pearl Work","Chanderi, Tissue",Green,Kurta Set
afni-long-kurta-set-3321,"Thread Embroidery, Zari Work, Sequin Embroidery, Pearl Work","Chanderi, Tissue","White, Green",Kurta Set
isbah-short-kurta-set-3320,"Thread Embroidery, Sequin Embroidery, Pearl Work","Tissue, Organza",Pink,Kurta Set
zakia-short-kurta-set-3319,"Thread Embroidery, Sequin Embroidery, Pearl Work","Tissue, Organza",Beige,Kurta Set
jafna-co-ordinate-set-3382,"Thread Embroidery, Applique Work, Lace Work","Satin, Chiffon",Pink,Co-ordinate Set
aafa-co-ordinate-set-3381,"Eyelet Embroidery, Thread Embroidery","Satin, Chiffon","Beige, White",Co-ordinate Set
afifa-saree-set-3379,"Pitta Work, Zari Work, Sequin Embroidery","Tissue, Raw Silk",Blue,Saree Set
fabia-saree-set-3378,"Sequin Embroidery, Zari Work, Pearl Work","Organza, Silk, Tissue, Cotton","White, Gold",Saree Set
hafia-saree-set-3377,"Sequin Embroidery, Zari Work, Bead Work","Georgette, Silk, Organza","Green, Beige",Saree Set
myra-cape-set-3375,Sequin Embroidery,"Georgette, Silk, Satin","Beige, White",Cape Set
nida-angrakha-set-3374,"Applique Work, Sequin Embroidery, Dabka Work, Thread Embroidery","Organza, Silk, Chiffon","Beige, White, Silver",Angrakha Set
layla-short-anarkali-set-3372,Sequin Embroidery,"Organza, Silk, Tissue, Cotton","Blue, Peach",Anarkali Set
aali-sharara-set-3370,"Sequin Embroidery, Pearl Work, Thread Embroidery, Pitta Work","Organza, Silk, Tissue, Cotton","Green, Peach, Pink",Sharara Set
barika-lehenga-set-3369,"Sequin Embroidery, Pearl Work, Thread Embroidery, Swarovski, Bead Work, Cut Work","Organza, Silk, Raw Silk",White,Lehenga Set
